class,f1_score,precision,recall,support
0.0,0.82,0.81,0.83,30.0
1.0,0.78,0.79,0.77,30.0
2.0,0.87,0.95,0.8,46.0
3.0,0.51,0.54,0.49,39.0
4.0,0.8,0.91,0.71,45.0
5.0,0.78,0.87,0.71,28.0
6.0,0.67,0.62,0.72,32.0
7.0,0.82,0.79,0.86,70.0
8.0,0.81,0.86,0.77,31.0
9.0,0.86,0.96,0.79,28.0
10.0,0.93,0.89,0.98,84.0
11.0,0.92,0.91,0.94,65.0
12.0,0.64,0.74,0.57,30.0
13.0,0.91,0.86,0.96,26.0
14.0,0.8,0.73,0.89,37.0
15.0,0.79,0.77,0.82,28.0
16.0,0.68,0.67,0.69,32.0
17.0,0.68,0.71,0.65,31.0
18.0,0.75,0.76,0.74,38.0
19.0,0.94,0.89,1.0,25.0
20.0,0.94,0.97,0.91,43.0
21.0,0.94,0.91,0.97,30.0
22.0,0.88,0.86,0.91,33.0
23.0,0.77,0.88,0.68,34.0
24.0,0.63,0.66,0.6,35.0
25.0,0.66,0.66,0.66,32.0
26.0,0.88,0.81,0.97,30.0
27.0,0.54,0.57,0.52,33.0
28.0,0.77,0.69,0.87,31.0
29.0,0.35,0.4,0.31,32.0
30.0,0.77,0.83,0.71,28.0
31.0,0.84,0.92,0.77,31.0
32.0,0.71,0.71,0.71,31.0
33.0,0.93,1.0,0.87,30.0
34.0,0.71,0.69,0.74,27.0
35.0,0.81,0.72,0.91,32.0
36.0,0.83,0.78,0.89,36.0
37.0,0.71,0.81,0.64,33.0
38.0,0.5,0.61,0.42,26.0
39.0,0.91,0.92,0.89,38.0
40.0,0.87,0.88,0.85,27.0
41.0,0.47,0.46,0.48,27.0
42.0,0.66,0.61,0.71,38.0
43.0,0.68,0.6,0.78,37.0
44.0,0.79,0.86,0.73,26.0
45.0,0.9,0.9,0.9,40.0
46.0,0.73,0.71,0.76,29.0
47.0,0.72,0.78,0.68,31.0
48.0,0.89,0.88,0.91,32.0
49.0,0.9,0.93,0.87,30.0
50.0,0.76,0.75,0.77,35.0
51.0,0.78,0.75,0.81,26.0
52.0,0.89,0.95,0.84,25.0
53.0,0.85,0.84,0.86,36.0
54.0,0.63,0.67,0.6,30.0
55.0,0.75,0.69,0.81,31.0
56.0,0.75,0.7,0.81,32.0
57.0,0.59,0.65,0.54,28.0
58.0,0.36,0.36,0.36,25.0
59.0,0.57,0.64,0.52,27.0
60.0,0.72,0.95,0.58,31.0
61.0,0.86,0.85,0.88,25.0
62.0,0.83,0.86,0.81,37.0
63.0,0.89,0.9,0.88,40.0
64.0,0.91,1.0,0.84,31.0
65.0,0.85,0.91,0.8,25.0
66.0,0.68,0.68,0.68,25.0
67.0,0.65,0.61,0.7,33.0
68.0,0.71,0.72,0.7,30.0
69.0,0.75,0.76,0.73,26.0
70.0,0.7,0.74,0.67,30.0
71.0,0.97,0.95,1.0,36.0
72.0,0.74,0.69,0.8,30.0
73.0,0.67,0.75,0.6,35.0
74.0,0.6,0.57,0.64,25.0
75.0,0.84,1.0,0.73,26.0
76.0,1.0,1.0,1.0,28.0
77.0,0.65,0.71,0.61,28.0
78.0,0.58,0.59,0.57,30.0
79.0,0.59,0.61,0.57,35.0
80.0,0.83,0.83,0.83,29.0
81.0,0.45,0.6,0.36,25.0
82.0,0.72,0.69,0.76,29.0
83.0,0.88,0.88,0.88,26.0
84.0,0.58,0.59,0.56,34.0
85.0,0.83,0.83,0.83,24.0
86.0,0.77,0.95,0.64,28.0
87.0,0.83,0.86,0.8,30.0
88.0,0.7,0.83,0.61,33.0
89.0,0.86,0.84,0.89,64.0
90.0,0.92,0.9,0.93,29.0
91.0,0.82,0.75,0.92,61.0
92.0,0.81,0.89,0.74,34.0
93.0,0.94,0.94,0.94,32.0
94.0,0.79,0.73,0.85,26.0
95.0,0.73,0.71,0.74,86.0
96.0,0.7,0.64,0.78,27.0
97.0,0.95,0.97,0.93,30.0
98.0,0.85,0.87,0.83,24.0
99.0,0.9,0.84,0.96,28.0
100.0,0.75,0.76,0.74,42.0
101.0,0.82,0.74,0.93,27.0
102.0,0.94,0.97,0.91,34.0
103.0,0.82,0.74,0.93,30.0
104.0,0.7,0.73,0.67,81.0
105.0,0.75,0.79,0.7,27.0
106.0,0.96,0.96,0.96,27.0
107.0,0.58,0.64,0.54,26.0
108.0,0.85,0.9,0.81,47.0
109.0,0.9,0.92,0.88,26.0
110.0,0.85,0.82,0.88,26.0
111.0,0.69,0.74,0.65,26.0
112.0,0.89,0.89,0.89,35.0
113.0,0.91,0.87,0.94,36.0
114.0,0.72,0.73,0.7,27.0
115.0,0.77,0.78,0.76,33.0
116.0,0.81,0.83,0.78,37.0
117.0,0.71,0.65,0.79,33.0
118.0,0.64,0.7,0.59,27.0
119.0,0.78,0.83,0.74,39.0
120.0,0.89,0.83,0.96,25.0
121.0,0.71,0.75,0.68,31.0
122.0,0.97,0.97,0.97,34.0
123.0,0.84,0.95,0.75,28.0
124.0,0.38,0.38,0.39,31.0
125.0,0.41,0.43,0.4,73.0
126.0,0.88,0.92,0.85,39.0
127.0,0.75,0.71,0.78,32.0
128.0,0.98,0.97,1.0,57.0
129.0,0.89,0.89,0.89,28.0
130.0,0.68,0.72,0.64,28.0
131.0,0.87,0.83,0.91,57.0
132.0,0.87,0.86,0.88,41.0
133.0,0.85,0.86,0.83,36.0
134.0,0.54,0.54,0.54,28.0
135.0,0.74,0.68,0.82,28.0
136.0,0.95,0.92,0.98,47.0
137.0,0.82,0.82,0.81,58.0
138.0,0.67,0.73,0.62,26.0
139.0,0.87,0.88,0.85,27.0
140.0,0.79,0.84,0.75,36.0
141.0,0.78,0.71,0.88,33.0
142.0,0.91,0.9,0.92,39.0
143.0,0.74,0.66,0.84,25.0
144.0,0.99,0.98,1.0,240.0
145.0,0.86,0.88,0.84,25.0
146.0,0.76,0.74,0.79,61.0
147.0,0.63,0.71,0.57,53.0
148.0,0.81,0.74,0.9,31.0
149.0,0.8,0.84,0.76,34.0
150.0,0.92,0.94,0.91,33.0
151.0,0.85,0.84,0.86,36.0
152.0,0.87,0.89,0.86,28.0
153.0,0.7,0.69,0.71,31.0
154.0,0.45,0.52,0.39,28.0
155.0,0.75,0.69,0.83,29.0
156.0,0.87,0.81,0.94,32.0
157.0,0.8,0.83,0.78,45.0
158.0,0.4,0.36,0.44,63.0
159.0,0.82,0.81,0.84,25.0
160.0,0.92,0.91,0.94,31.0
161.0,0.59,0.55,0.64,28.0
162.0,0.44,0.44,0.43,28.0
163.0,0.97,1.0,0.94,31.0
164.0,0.6,0.62,0.59,27.0
165.0,0.67,0.74,0.61,28.0
166.0,0.62,0.68,0.58,26.0
167.0,0.91,0.95,0.88,42.0
168.0,0.78,0.9,0.68,28.0
169.0,0.75,0.77,0.74,31.0
170.0,0.62,0.62,0.62,26.0
171.0,0.9,0.88,0.93,30.0
172.0,0.42,0.4,0.44,32.0
173.0,0.85,0.85,0.85,26.0
174.0,0.91,0.86,0.96,25.0
175.0,0.67,0.62,0.73,33.0
176.0,0.83,0.81,0.86,29.0
177.0,0.95,0.94,0.97,30.0
178.0,0.78,0.74,0.83,24.0
179.0,0.54,0.57,0.52,31.0
180.0,0.82,0.81,0.83,30.0
181.0,0.94,0.94,0.94,36.0
182.0,0.91,0.85,0.97,30.0
183.0,0.83,0.74,0.96,26.0
184.0,0.35,0.43,0.29,31.0
185.0,0.94,0.89,1.0,25.0
186.0,0.77,0.74,0.79,29.0
187.0,0.68,0.6,0.78,27.0
188.0,0.76,0.7,0.83,36.0
189.0,0.79,0.86,0.74,34.0
190.0,0.58,0.61,0.56,34.0
191.0,0.9,0.86,0.94,34.0
192.0,0.78,0.86,0.72,53.0
193.0,0.82,0.93,0.74,34.0
194.0,0.5,0.43,0.59,27.0
195.0,0.78,0.78,0.78,32.0
196.0,0.74,0.78,0.7,30.0
197.0,0.64,0.61,0.67,33.0
198.0,0.52,0.52,0.53,32.0
199.0,0.85,0.86,0.83,30.0
200.0,0.94,0.96,0.92,25.0
201.0,0.81,0.83,0.8,30.0
202.0,0.68,0.72,0.64,28.0
203.0,0.92,0.88,0.96,24.0
204.0,0.7,0.7,0.7,27.0
205.0,0.69,0.65,0.73,30.0
206.0,0.81,0.77,0.86,35.0
207.0,0.86,0.81,0.91,33.0
208.0,0.63,0.58,0.68,31.0
209.0,0.72,0.77,0.68,34.0
210.0,0.82,0.85,0.79,29.0
211.0,0.84,0.79,0.9,41.0
212.0,0.83,0.79,0.87,31.0
213.0,0.87,0.86,0.88,42.0
214.0,0.82,0.87,0.77,26.0
215.0,0.75,0.76,0.73,30.0
216.0,0.82,0.74,0.91,32.0
217.0,0.88,0.85,0.92,25.0
218.0,0.65,0.7,0.62,26.0
