class,f1_score,precision,recall,support
1,0.83,0,0.81,0.82
2,0.77,1,0.79,0.78
3,0.8,2,0.95,0.87
4,0.49,3,0.54,0.51
5,0.71,4,0.91,0.8
6,0.71,5,0.87,0.78
7,0.72,6,0.62,0.67
8,0.86,7,0.79,0.82
9,0.77,8,0.86,0.81
10,0.79,9,0.96,0.86
11,0.98,10,0.89,0.93
12,0.94,11,0.91,0.92
13,0.57,12,0.74,0.64
14,0.96,13,0.86,0.91
15,0.89,14,0.73,0.8
16,0.82,15,0.77,0.79
17,0.69,16,0.67,0.68
18,0.65,17,0.71,0.68
19,0.74,18,0.76,0.75
20,1,19,0.89,0.94
21,0.91,20,0.97,0.94
22,0.97,21,0.91,0.94
23,0.91,22,0.86,0.88
24,0.68,23,0.88,0.77
25,0.6,24,0.66,0.63
26,0.66,25,0.66,0.66
27,0.97,26,0.81,0.88
28,0.52,27,0.57,0.54
29,0.87,28,0.69,0.77
30,0.31,29,0.4,0.35
31,0.71,30,0.83,0.77
32,0.77,31,0.92,0.84
33,0.71,32,0.71,0.71
34,0.87,33,1,0.93
35,0.74,34,0.69,0.71
36,0.91,35,0.72,0.81
37,0.89,36,0.78,0.83
38,0.64,37,0.81,0.71
39,0.42,38,0.61,0.5
40,0.89,39,0.92,0.91
41,0.85,40,0.88,0.87
42,0.48,41,0.46,0.47
43,0.71,42,0.61,0.66
44,0.78,43,0.6,0.68
45,0.73,44,0.86,0.79
46,0.9,45,0.9,0.9
47,0.76,46,0.71,0.73
48,0.68,47,0.78,0.72
49,0.91,48,0.88,0.89
50,0.87,49,0.93,0.9
51,0.77,50,0.75,0.76
52,0.81,51,0.75,0.78
53,0.84,52,0.95,0.89
54,0.86,53,0.84,0.85
55,0.6,54,0.67,0.63
56,0.81,55,0.69,0.75
57,0.81,56,0.7,0.75
58,0.54,57,0.65,0.59
59,0.36,58,0.36,0.36
60,0.52,59,0.64,0.57
61,0.58,60,0.95,0.72
62,0.88,61,0.85,0.86
63,0.81,62,0.86,0.83
64,0.88,63,0.9,0.89
65,0.84,64,1,0.91
66,0.8,65,0.91,0.85
