class,f1_score,precision,recall,support
0,0.73,0.0,0.88,0.8
1,0.83,1.0,0.93,0.88
2,0.74,2.0,0.89,0.81
3,0.56,3.0,0.59,0.58
4,0.62,4.0,0.82,0.71
5,0.68,5.0,0.86,0.76
6,0.78,6.0,0.64,0.7
7,0.9,7.0,0.8,0.85
8,0.77,8.0,0.83,0.8
9,0.82,9.0,0.92,0.87
10,0.93,10.0,0.86,0.89
11,0.95,11.0,0.85,0.9
12,0.63,12.0,0.73,0.68
13,0.77,13.0,0.91,0.83
14,0.78,14.0,0.85,0.82
15,0.79,15.0,0.92,0.85
16,0.75,16.0,0.71,0.73
17,0.58,17.0,0.64,0.61
18,0.79,18.0,0.83,0.81
19,0.92,19.0,0.88,0.9
20,0.86,20.0,0.93,0.89
21,0.9,21.0,0.9,0.9
22,0.91,22.0,0.83,0.87
23,0.65,23.0,0.92,0.76
24,0.51,24.0,0.67,0.58
25,0.59,25.0,0.63,0.61
26,0.97,26.0,0.88,0.92
27,0.64,27.0,0.84,0.72
28,0.87,28.0,0.79,0.83
29,0.41,29.0,0.62,0.49
30,0.68,30.0,0.79,0.73
31,0.71,31.0,0.88,0.79
32,0.77,32.0,0.63,0.7
33,0.83,33.0,1.0,0.91
34,0.7,34.0,0.66,0.68
35,0.88,35.0,0.8,0.84
36,0.83,36.0,0.75,0.79
37,0.67,37.0,0.92,0.77
38,0.35,38.0,0.56,0.43
39,0.92,39.0,0.92,0.92
40,0.89,40.0,0.89,0.89
41,0.48,41.0,0.42,0.45
42,0.74,42.0,0.61,0.67
43,0.78,43.0,0.6,0.68
44,0.65,44.0,0.89,0.76
45,0.93,45.0,0.84,0.88
46,0.66,46.0,0.66,0.66
47,0.74,47.0,0.68,0.71
48,0.81,48.0,0.84,0.83
49,0.87,49.0,0.93,0.9
50,0.74,50.0,0.68,0.71
51,0.81,51.0,0.72,0.76
52,0.84,52.0,1.0,0.91
53,0.83,53.0,0.86,0.85
54,0.57,54.0,0.46,0.51
55,0.81,55.0,0.74,0.77
56,0.75,56.0,0.69,0.72
57,0.5,57.0,0.54,0.52
58,0.36,58.0,0.45,0.4
59,0.67,59.0,0.78,0.72
60,0.71,60.0,0.65,0.68
61,0.8,61.0,0.87,0.83
62,0.78,62.0,0.85,0.82
63,0.82,63.0,1.0,0.9
64,0.74,64.0,0.96,0.84
65,0.72,65.0,1.0,0.84
66,0.68,66.0,0.89,0.77
67,0.76,67.0,0.71,0.74
68,0.73,68.0,0.76,0.75
69,0.69,69.0,0.75,0.72
70,0.63,70.0,0.83,0.72
71,1.0,71.0,0.95,0.97
72,0.8,72.0,0.77,0.79
73,0.71,73.0,0.64,0.68
74,0.64,74.0,0.59,0.62
75,0.58,75.0,1.0,0.73
76,0.96,76.0,1.0,0.98
77,0.64,77.0,0.86,0.73
78,0.53,78.0,0.62,0.57
79,0.71,79.0,0.66,0.68
80,0.79,80.0,0.79,0.79
81,0.44,81.0,0.92,0.59
82,0.72,82.0,0.81,0.76
83,0.81,83.0,1.0,0.89
84,0.62,84.0,0.66,0.64
85,0.83,85.0,0.83,0.83
86,0.68,86.0,0.9,0.78
87,0.73,87.0,0.88,0.8
88,0.58,88.0,0.73,0.64
89,0.92,89.0,0.87,0.89
90,0.86,90.0,0.89,0.88
91,0.93,91.0,0.75,0.83
92,0.76,92.0,0.87,0.81
93,0.88,93.0,0.93,0.9
94,0.81,94.0,0.84,0.82
95,0.8,95.0,0.64,0.72
96,0.7,96.0,0.7,0.7
97,0.83,97.0,0.96,0.89
98,0.71,98.0,0.89,0.79
99,0.96,99.0,1.0,0.98
100,0.74,100.0,0.82,0.78
101,0.74,101.0,0.83,0.78
102,0.91,102.0,0.94,0.93
103,0.93,103.0,0.76,0.84
104,0.86,104.0,0.61,0.71
105,0.7,105.0,0.83,0.76
106,0.96,106.0,0.93,0.95
107,0.54,107.0,0.64,0.58
108,0.74,108.0,0.92,0.82
109,0.85,109.0,1.0,0.92
110,0.81,110.0,0.91,0.86
111,0.58,111.0,0.71,0.64
112,0.91,112.0,0.8,0.85
113,0.92,113.0,0.94,0.93
114,0.56,114.0,0.75,0.64
115,0.76,115.0,0.96,0.85
116,0.65,116.0,0.83,0.73
117,0.82,117.0,0.79,0.81
118,0.63,118.0,0.77,0.69
119,0.77,119.0,0.91,0.83
120,0.92,120.0,0.85,0.88
121,0.77,121.0,0.75,0.76
122,0.97,122.0,1.0,0.99
123,0.68,123.0,0.95,0.79
124,0.48,124.0,0.5,0.49
125,0.56,125.0,0.27,0.37
126,0.92,126.0,0.88,0.9
127,0.78,127.0,0.66,0.71
128,1.0,128.0,0.98,0.99
129,0.86,129.0,0.89,0.87
130,0.64,130.0,0.69,0.67
131,0.91,131.0,0.84,0.87
132,0.83,132.0,0.76,0.79
133,0.81,133.0,1.0,0.89
134,0.54,134.0,0.56,0.55
135,0.68,135.0,0.7,0.69
136,0.98,136.0,0.94,0.96
137,0.83,137.0,0.77,0.8
138,0.54,138.0,0.93,0.68
139,0.78,139.0,1.0,0.88
140,0.75,140.0,0.73,0.74
141,0.85,141.0,0.7,0.77
142,0.9,142.0,0.9,0.9
143,0.84,143.0,0.7,0.76
144,1.0,144.0,0.99,0.99
145,0.8,145.0,0.87,0.83
146,0.84,146.0,0.65,0.73
147,0.58,147.0,0.41,0.48
148,0.94,148.0,0.74,0.83
149,0.76,149.0,0.72,0.74
150,0.88,150.0,0.94,0.91
151,0.89,151.0,0.86,0.88
152,0.86,152.0,0.92,0.89
153,0.77,153.0,0.73,0.75
154,0.43,154.0,0.63,0.51
155,0.76,155.0,0.71,0.73
156,0.97,156.0,0.94,0.95
157,0.82,157.0,0.69,0.75
158,0.65,158.0,0.29,0.4
159,0.64,159.0,0.76,0.7
160,0.84,160.0,0.9,0.87
161,0.64,161.0,0.69,0.67
162,0.43,162.0,0.29,0.35
163,0.87,163.0,1.0,0.93
164,0.59,164.0,0.84,0.7
165,0.54,165.0,0.79,0.64
